
****************************************************
*****************                  *****************
***********                              ***********
******                                        ******
***Job: LoadTCMIP started 14/Aug/2024 01:56:19PM****
******                                        ******
***********                              ***********
*****************                  *****************
****************************************************

Last Modified Date                 : 04/02/2024
Link Notebook/Business Function    : true
Link Requirement                   : true
Link WI/Defect/CO                  : false
SQL Statement                      : select a.nb, a.nb_bf, b.sak_participant, upper(trim(b.nam_first)||' '||trim(b.nam_last)) owner, a.env, a.subsystem_tc, a.nam, replace(a.dsc, CHR(9),'') as dsc, replace(a.dsc_expect, CHR(9),'') as dsc_expect, a.grpng, nvl(trim(a.wi_test_case), ' ') wi_test_case, tc_row, nvl(trim(d.dsc), ' ') wi_type, nvl(trim(a.id_req), ' ') id_req from rvattumi.load_tc a, co_participant b, co c, co_type d where c.sak_csr(+) = a.wi_test_case and d.sak_csr_type(+) = c.sak_csr_type and testcase_id is null and upper(trim(b.nam_first)||' '||trim(b.nam_last)) = upper(trim(a.owner)) order by tc_row asc
No.of Cols                         : 14
Query Execution Time(ms)           : 198
Total No.of Rows fetched           : 8
*****************************************************************
Started at                         : Wed Aug 14 13:56:26 EDT 2024
Creating test case for Row #       : 5442
Validation Time(ms)                : 748
TC Validation status               : PASS
Short Desc                         : CNS File Format
Env                                : M
Subsystem                          : Member Management
SAK Participant                    : 962
Owner                              : RENUKA CHALLA
Grouping                           : DCR
Long Desc                          : Validate the CNS load falt file format should be separated by  pipe and should in the format as: <BR>MID|Source|PrintType|Communication Preference|Num_cell_phone|Email|Accomdation 1|Accomdation 2|Accomdation 3 |Accomdation 4|Accomdation 5|Accomdation 6|Accomdation 7|Accomdation 8|Accomdation 9 <BR>
Expected Results                   : Verify the CNS load falt file is in the format : <BR>MID|Source|PrintType|Communication Preference|Num_cell_phone|Email|Accomdation 1|Accomdation 2|Accomdation 3 |Accomdation 4|Accomdation 5|Accomdation 6|Accomdation 7|Accomdation 8|Accomdation 9 <BR> as expected.
Test Case ID for Row 5442          : 47698
Requirement ID                     : 37806.01.015
Requirement Type                   : Batch
SAK Requirement Type               : 12
Requirement linked for test case   : 47698
Notebook                           : CNS Initial Load
Business Function                  : CNS Initial Load
Notebook/BF linked for test case   : 47698
Finished at                        : Wed Aug 14 13:56:32 EDT 2024
*****************************************************************
Started at                         : Wed Aug 14 13:56:32 EDT 2024
Creating test case for Row #       : 5443
Validation Time(ms)                : 777
TC Validation status               : PASS
Short Desc                         : Store data as per DB field format
Env                                : M
Subsystem                          : Member Management
SAK Participant                    : 962
Owner                              : RENUKA CHALLA
Grouping                           : DCR
Long Desc                          : Validate the  fields in database tables  T_RE_COMMUNICATION and T_RE_ACCOMMODATION  are in  existing field format as All Upper case or mixed case and Blank/Space/Null etc
Expected Results                   : Verify the  fields in database tables  T_RE_COMMUNICATION and T_RE_ACCOMMODATION  are in  existing field format as All Upper case or mixed case and Blank/Space/Null etc as expected
Test Case ID for Row 5443          : 47699
Requirement ID                     : 37806.01.030
Requirement Type                   : Batch
SAK Requirement Type               : 12
Requirement linked for test case   : 47699
Notebook                           : CNS Initial Load
Business Function                  : CNS Initial Load
Notebook/BF linked for test case   : 47699
Finished at                        : Wed Aug 14 13:56:38 EDT 2024
*****************************************************************
Started at                         : Wed Aug 14 13:56:38 EDT 2024
Creating test case for Row #       : 5444
Validation Time(ms)                : 757
TC Validation status               : PASS
Short Desc                         : CNS Error Report File Name
Env                                : M
Subsystem                          : Member Management
SAK Participant                    : 962
